Row_ID,Chapter,Time/Location,Speaker,Text,Action,Comment_flg,Prev_Row_ID,Next_Row_ID
Un3DrDe-1,,,﻿Nathan (offscreen),"“All men dream… but not equally. Those who dream by night in the dusty recesses of their minds wake in the day to find that it was vanity… But the dreamers of the day are dangerous men, for they may act their dream with open eyes, to make it possible. This I did.”",,N,,Un3DrDe-2
Un3DrDe-2,,,,[This quote appears on the screen as text. It is signed T.E. Lawrence “Lawrence of Arabia”.],,Y,Un3DrDe-1,Un3DrDe-3
Un3DrDe-3,,,,[Opening. Nathan and Sully go to some bar. The bartender points them to the office.],,Y,Un3DrDe-2,Un3DrDe-4
Un3DrDe-4,,,Thug,Hands up.,,N,Un3DrDe-3,Un3DrDe-5
Un3DrDe-5,,,Nathan," Enjoying yourself, pal?",(the thug touches his crotch) ,N,Un3DrDe-4,Un3DrDe-6
Un3DrDe-6,,,Thug,"Oh, yeah, you’re a comedian.",,N,Un3DrDe-5,Un3DrDe-7
Un3DrDe-7,,,Sully,Nice warm welcome.,,N,Un3DrDe-6,Un3DrDe-8
Un3DrDe-8,,,Thug, They’re both clean.,(to his boss) ,N,Un3DrDe-7,Un3DrDe-9
Un3DrDe-9,,,Boss,My apologies. One can’t be too careful.,,N,Un3DrDe-8,Un3DrDe-10
Un3DrDe-10,,,Sully,I’m guessing you’re Talbot.,,N,Un3DrDe-9,Un3DrDe-11
Un3DrDe-11,,,Talbot,Mr. Sullivan. And Mr. Drake.,,N,Un3DrDe-10,Un3DrDe-12
Un3DrDe-12,,,Nathan,That’s right.,,N,Un3DrDe-11,Un3DrDe-13
Un3DrDe-13,,,Talbot,Do you have it?,,N,Un3DrDe-12,Un3DrDe-14
Un3DrDe-14,,,Sully,Let’s see the money first.,,N,Un3DrDe-13,Un3DrDe-15
Un3DrDe-15,,,Talbot,"Cutter. It’s all there. Now let’s see it.  I’ll need to authenticate it. Silver. 16th century Elizabethan design… Inscribed with Sir Francis Drake’s motto… Well, it appears to be genuine.",(Nathan takes off his ring) ,N,Un3DrDe-14,Un3DrDe-16
Un3DrDe-16,,,Sully,"Well, of course it’s genuine.",,N,Un3DrDe-15,Un3DrDe-17
Un3DrDe-17,,,Talbot,"If I may ask, how did you two come into this?",,N,Un3DrDe-16,Un3DrDe-18
Un3DrDe-18,,,Sully,Does it matter?,,N,Un3DrDe-17,Un3DrDe-19
Un3DrDe-19,,,Talbot,My client will be very pleased.,,N,Un3DrDe-18,Un3DrDe-20
Un3DrDe-20,,,Nathan," Hold on a minute – Sully, this is fake.",(looking at the money) ,N,Un3DrDe-19,Un3DrDe-21
Un3DrDe-21,,,Talbot,"I assure you, Mr. Drake.",,N,Un3DrDe-20,Un3DrDe-22
Un3DrDe-22,,,Sully,"Whoa, whoa, you are right. This is phony as a three dollar bill. What the hell are you tryin’ to pull here?",,N,Un3DrDe-21,Un3DrDe-23
Un3DrDe-23,,,Talbot,Perhaps I should be asking you.,,N,Un3DrDe-22,Un3DrDe-24
Un3DrDe-24,,,Nathan,"This is bullshit. The deal’s off, pal.",,N,Un3DrDe-23,Un3DrDe-25
Un3DrDe-25,,,Sully,"And you? You can tell your ‘client’ you blew it. C’mon, Nate. Let’s get the hell outta here.",,N,Un3DrDe-24,Un3DrDe-26
Un3DrDe-26,,,Talbot,"You’re not really in a position to negotiate. Now, give me the ring, take the case, and walk out of here like gentlemen. While you still can.",,N,Un3DrDe-25,Un3DrDe-27
Un3DrDe-27,,,Cutter," Do as the man says, son.",(to Nathan) ,N,Un3DrDe-26,Un3DrDe-28
Un3DrDe-28,,,Nathan,You’re a thief!,,N,Un3DrDe-27,Un3DrDe-29
Un3DrDe-29,,,Talbot,"Well, now that’s ironic.",,N,Un3DrDe-28,Un3DrDe-30
Un3DrDe-30,,,,"[Begins a long, beautiful bar fight with the thugs.]",,Y,Un3DrDe-29,Un3DrDe-31
Un3DrDe-31,,,Cutter,Come on.,,N,Un3DrDe-30,Un3DrDe-32
Un3DrDe-32,,,Thug,This one’s mine!,,N,Un3DrDe-31,Un3DrDe-33
Un3DrDe-33,,,Sully,Yeah.,,N,Un3DrDe-32,Un3DrDe-34
Un3DrDe-34,,,Thug 2,Why don’t you have a go at me? Come on!,,N,Un3DrDe-33,Un3DrDe-35
Un3DrDe-35,,,Sully,Oh man.,,N,Un3DrDe-34,Un3DrDe-36
Un3DrDe-36,,,Nathan,C’mon. No time to rest.,,N,Un3DrDe-35,Un3DrDe-37
Un3DrDe-37,,,Sully,"Come on, let’s get outta here. Let’s go.",,N,Un3DrDe-36,Un3DrDe-38
Un3DrDe-38,,,Nathan,"Hey there, big fella.",,N,Un3DrDe-37,Un3DrDe-39
Un3DrDe-39,,,Sully,"I got him! All right, quick, hit him.",,N,Un3DrDe-38,Un3DrDe-40
Un3DrDe-40,,,Big Thug,"Nope, bad idea, granddad.",,N,Un3DrDe-39,Un3DrDe-41
Un3DrDe-41,,,Sully,Damn it!,,N,Un3DrDe-40,Un3DrDe-42
Un3DrDe-42,Another Round,,Nathan," Here, this one’s on me.",(hits bartender with a bottle) ,N,Un3DrDe-41,Un3DrDe-43
Un3DrDe-43,Another Round,,Sully,This a private party or can I join in?,,N,Un3DrDe-42,Un3DrDe-44
Un3DrDe-44,Another Round,,Nathan,"Be my guest. Argh, man… this got outta hand in a hurry.",,N,Un3DrDe-43,Un3DrDe-45
Un3DrDe-45,Another Round,,Sully,"Argh, damn it oww… Yeah, thanks.",,N,Un3DrDe-44,Un3DrDe-46
Un3DrDe-46,Another Round,,Nathan,All done.,,N,Un3DrDe-45,Un3DrDe-47
Un3DrDe-47,Another Round,,Nathan,"Oh man… That is nasty. Now, just… just gimme a second there, mate. Be right with you. Oh God… okay. Okay, ready for more.",,N,Un3DrDe-46,Un3DrDe-48
Un3DrDe-48,Another Round,,Sully,You hurt?,,N,Un3DrDe-47,Un3DrDe-49
Un3DrDe-49,Another Round,,Nathan,Just my pride. They’re gonna need a plunger.,,N,Un3DrDe-48,Un3DrDe-50
Un3DrDe-50,Another Round,,Sully,"Come on, let’s go, Nate. Here, we can get out the back.  How’s that for ya. Ready to go, kid?",(hitting a thug) ,N,Un3DrDe-49,Un3DrDe-51
Un3DrDe-51,Another Round,,Nathan,Yeah.,,N,Un3DrDe-50,Un3DrDe-52
Un3DrDe-52,Another Round,,Sully,Let’s go.,,N,Un3DrDe-51,Un3DrDe-53
Un3DrDe-53,Another Round,,,[They go outside but Cutter and his thugs are waiting for them there.],,Y,Un3DrDe-52,Un3DrDe-54
Un3DrDe-54,Another Round,,Cutter,Oops.,,N,Un3DrDe-53,Un3DrDe-55
Un3DrDe-55,Another Round,,Nathan,"Aww, crap.",,N,Un3DrDe-54,Un3DrDe-56
Un3DrDe-56,Another Round,,Sully,Ahh… damn it.,,N,Un3DrDe-55,Un3DrDe-57
Un3DrDe-57,Another Round,,Cutter," Come here, come here. Typical bloody Yank, all talk. Hey, ey, ey, ey… He’s had enough.  Haven’t you, mate?  Don’t. Stay down.",(to Nathan) (to Sully) (to Nate) ,N,Un3DrDe-56,Un3DrDe-58
Un3DrDe-58,Another Round,,,[Talbot and a woman with an umbrella drive up to the lane by car.],,Y,Un3DrDe-57,Un3DrDe-59
Un3DrDe-59,Another Round,,Woman,Hello Victor.,,N,Un3DrDe-58,Un3DrDe-60
Un3DrDe-60,Another Round,,Sully,Kate.,,N,Un3DrDe-59,Un3DrDe-61
Un3DrDe-61,Another Round,,Kate Marlowe,"Still wallowing in the gutter with your protege, I see. Not very dignified for a man of your age. Shoulda known you’d be behind this.",,N,Un3DrDe-60,Un3DrDe-62
Un3DrDe-62,Another Round,,,[She folds her umbrella.],,Y,Un3DrDe-61,Un3DrDe-63
Un3DrDe-63,Another Round,,Nathan,"Oh, careful now - wouldn’t want you to melt.",,N,Un3DrDe-62,Un3DrDe-64
Un3DrDe-64,Another Round,,Kate Marlowe," Same cocky little shit. So fearless…  I wonder what you’re really afraid of… Not bullets, or blood, or broken bones… No, you get off on all this, don’t you? Cheating death - or not. (sees Nathan’s ring]",(humorless laugh) (takes out the knife from the umbrella) ,N,Un3DrDe-63,Un3DrDe-65
Un3DrDe-65,Another Round,,Sully,No…,,N,Un3DrDe-64,Un3DrDe-66
Un3DrDe-66,Another Round,,Kate Marlowe," Mr. Sullivan, I won’t harm your precious boy. I merely want what’s mine.",(sinister laugh) ,N,Un3DrDe-65,Un3DrDe-67
Un3DrDe-67,Another Round,,Nathan,Gimme that back!,,N,Un3DrDe-66,Un3DrDe-68
Un3DrDe-68,Another Round,,,[Nathan rush at her and Cutter shoots him.],,Y,Un3DrDe-67,Un3DrDe-69
Un3DrDe-69,Another Round,,Kate Marlowe,Cutter!,,N,Un3DrDe-68,Un3DrDe-70
Un3DrDe-70,Another Round,,Sully,"Oh, no, oh God, no!",,N,Un3DrDe-69,Un3DrDe-71
Un3DrDe-71,Another Round,,Cutter,Shut up! (shoots him too],,N,Un3DrDe-70,Un3DrDe-72
Un3DrDe-72,Another Round,,Kate Marlowe,You fool!,,N,Un3DrDe-71,Un3DrDe-73
Un3DrDe-73,Another Round,,Cutter,"Oh, you’re bloody welcome, your majesty.",,N,Un3DrDe-72,Un3DrDe-74
Un3DrDe-74,Another Round,,Talbot,Marlowe! We have to get you out of here.,,N,Un3DrDe-73,Un3DrDe-75
Un3DrDe-75,Another Round,,Cutter,"Ah, come on - they were a right pair of assholes! What?",,N,Un3DrDe-74,Un3DrDe-76
Un3DrDe-76,Another Round,,,[Marlowe and Talbot leaves.],,Y,Un3DrDe-75,Un3DrDe-77
Un3DrDe-77,"CARTAGENA, COLUMBIA",Twenty Years Earlier,,[Young Nathan Drake sneaking to “El Pirata Francis Drake” exposition.],,Y,Un3DrDe-76,Un3DrDe-78
Un3DrDe-78,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,All right… Here we go… Maybe upstairs. It’s gotta be in one of these cases. Wait… here it is.,,N,Un3DrDe-77,Un3DrDe-79
Un3DrDe-79,Greatness from Small Beginnings,Twenty Years Earlier,,"[Nate finds the very same ring of Francis Drake on a display. While he studies it, young Sully comes to the exhibition and tries to quietly open the display window. Meanwhile, Nate is caught by a guard.]",,Y,Un3DrDe-78,Un3DrDe-80
Un3DrDe-80,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Sueltame! (Let me go!],,N,Un3DrDe-79,Un3DrDe-81
Un3DrDe-81,Greatness from Small Beginnings,Twenty Years Earlier,,[He is thrown out onto the street.],,Y,Un3DrDe-80,Un3DrDe-82
Un3DrDe-82,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"Pendejo! (Asshole!)  Oh, there he is.",(sees Sully) ,N,Un3DrDe-81,Un3DrDe-83
Un3DrDe-83,Greatness from Small Beginnings,Twenty Years Earlier,,[Nate follows him.],,Y,Un3DrDe-82,Un3DrDe-84
Un3DrDe-84,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"I gotta keep up with him.  Oh, don’t mind if I do.  It was rotten anyway. Aw… now where did he go? Now what’s he doing?",(takes an apple from a counter) (The seller caught him) ,N,Un3DrDe-83,Un3DrDe-85
Un3DrDe-85,Greatness from Small Beginnings,Twenty Years Earlier,,[Sully walks into a place where Nate cannot go.],,Y,Un3DrDe-84,Un3DrDe-86
Un3DrDe-86,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Aw… damn. It’s locked. Looks like he’s going upstairs. Hmm… gonna have to find another way up. What’s he doing in there? I need to get a better look.,,N,Un3DrDe-85,Un3DrDe-87
Un3DrDe-87,Greatness from Small Beginnings,Twenty Years Earlier,,[Nate climbs to the window and overhears Sully’s conversation with someone.],,Y,Un3DrDe-86,Un3DrDe-88
Un3DrDe-88,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"Hey, I don’t want to rush you pal, but can you move it along? It’s just that I got a lady waiting, you know how that is.  Aha… That’s the ticket.  Gracias. Adios amigo. (leaves]",(pull out a lockpick from the seller) (puts it in huis wallet) ,N,Un3DrDe-87,Un3DrDe-89
Un3DrDe-89,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Okay… I gotta get that wallet. Crap! Can’t go down that way. He’s cutting through that building. I bet I can spot him from the roof.  Oh… who’s your friend? Don’t wanna lose him. Damn it. Don’t wanna go down there. I gotta find a way to get that wallet. Okay… It’s right there in his pocket. Now’s my chance.,(sees a girl with him) ,N,Un3DrDe-88,Un3DrDe-90
Un3DrDe-90,Greatness from Small Beginnings,Twenty Years Earlier,Young Kate Marlowe,It seems we have some time to kill.,,N,Un3DrDe-89,Un3DrDe-91
Un3DrDe-91,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,I got an idea. We can while away a few hours.,,N,Un3DrDe-90,Un3DrDe-92
Un3DrDe-92,Greatness from Small Beginnings,Twenty Years Earlier,,"[Nate steal Sully’s wallet and runs away, but Sully cuts his way. He grabs his arm.]",,Y,Un3DrDe-91,Un3DrDe-93
Un3DrDe-93,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"Sueltame, viejo! (Let me go, old man!]",,N,Un3DrDe-92,Un3DrDe-94
Un3DrDe-94,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,Let’s try that again.,,N,Un3DrDe-93,Un3DrDe-95
Un3DrDe-95,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Let go of me!,,N,Un3DrDe-94,Un3DrDe-96
Un3DrDe-96,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"Ahh, that’s what I thought. Now don’t try to run.  You’re a long way from home, son.",(release Nate) ,N,Un3DrDe-95,Un3DrDe-97
Un3DrDe-97,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Don’t call me that.,,N,Un3DrDe-96,Un3DrDe-98
Un3DrDe-98,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,Parents must be worried about you.,,N,Un3DrDe-97,Un3DrDe-99
Un3DrDe-99,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"Yeah, not likely.",,N,Un3DrDe-98,Un3DrDe-100
Un3DrDe-100,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,Okay – sore subject. That was a nice lift back there. You’re pretty good.,,N,Un3DrDe-99,Un3DrDe-101
Un3DrDe-101,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"I don’t know that you talking about, old man.",,N,Un3DrDe-100,Un3DrDe-102
Un3DrDe-102,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"Hey, don’t call me that. You technique is really sloppy, though. You’re telegraphing all your moves.",,N,Un3DrDe-101,Un3DrDe-103
Un3DrDe-103,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,You’re crazy.,,N,Un3DrDe-102,Un3DrDe-104
Un3DrDe-104,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"Yeah? You’ve been tailing me all over town. Probably figured me for an easy mark. But you picked the wrong guy, pal.  Ah ah.",(Nate slowly walks away) ,N,Un3DrDe-103,Un3DrDe-105
Un3DrDe-105,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,What?,,N,Un3DrDe-104,Un3DrDe-106
Un3DrDe-106,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"My wallet.  Fine, maybe we’ll just call the police.",(Nate refuses) ,N,Un3DrDe-105,Un3DrDe-107
Un3DrDe-107,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Go ahead.’Course they might wonder why a middle aged tourist is following young boy.,,N,Un3DrDe-106,Un3DrDe-108
Un3DrDe-108,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,"You are a crafty little beggar, aren’t you?",,N,Un3DrDe-107,Un3DrDe-109
Un3DrDe-109,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,"I know how to take care of myself. Anyway, I’m pretty sure you don’t like the cops any more than I do.",,N,Un3DrDe-108,Un3DrDe-110
Un3DrDe-110,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,Good point. Kid. The wallet.,,N,Un3DrDe-109,Un3DrDe-111
Un3DrDe-111,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate,Had to try.,,N,Un3DrDe-110,Un3DrDe-112
Un3DrDe-112,Greatness from Small Beginnings,Twenty Years Earlier,Young Sully,‘Course you did.,,N,Un3DrDe-111,Un3DrDe-113
Un3DrDe-113,Greatness from Small Beginnings,Twenty Years Earlier,,[Next scene. Evening. Nate sits on the roof next to the exhibit.],,Y,Un3DrDe-112,Un3DrDe-114
Un3DrDe-114,Greatness from Small Beginnings,Twenty Years Earlier,Young Nate," Telegraphing all my moves, huh? Okay, museum’s closed.",(holding the lockpick) ,N,Un3DrDe-113,Un3DrDe-115
Un3DrDe-115,Second-Story Work,Twenty Years Earlier,,[Nate jumps over the rooftops in search of a passage to the exhibition.],,Y,Un3DrDe-114,Un3DrDe-116
Un3DrDe-116,Second-Story Work,Twenty Years Earlier,Young Nate,There it is. Ah… that was close.,,N,Un3DrDe-115,Un3DrDe-117
Un3DrDe-117,Second-Story Work,Twenty Years Earlier,,[He finds the display he needs and pulls out Francis Drake’s ring and some round device.],,Y,Un3DrDe-116,Un3DrDe-118
Un3DrDe-118,Second-Story Work,Twenty Years Earlier,Young Nate,Okay…  Whoa.,(he combines the ring and the device) ,N,Un3DrDe-117,Un3DrDe-119
Un3DrDe-119,Second-Story Work,Twenty Years Earlier,,"[Sally, Marlowe, and security enter the room.]",,Y,Un3DrDe-118,Un3DrDe-120
Un3DrDe-120,Second-Story Work,Twenty Years Earlier,Young Sully,"Damn it, kid…",,N,Un3DrDe-119,Un3DrDe-121
Un3DrDe-121,Second-Story Work,Twenty Years Earlier,Kate Marlowe,"Why, Victor - look who it is… the filthy little stray that made off with your wallet.",,N,Un3DrDe-120,Un3DrDe-122
Un3DrDe-122,Second-Story Work,Twenty Years Earlier,Young Sully,"C’mon, son. You haven’t got a chance. Just hand it over.",,N,Un3DrDe-121,Un3DrDe-123
Un3DrDe-123,Second-Story Work,Twenty Years Earlier,Kate Marlowe, Now - the ring.,(takes away the device) ,N,Un3DrDe-122,Un3DrDe-124
Un3DrDe-124,Second-Story Work,Twenty Years Earlier,Young Nate,What ring?,,N,Un3DrDe-123,Un3DrDe-125
Un3DrDe-125,Second-Story Work,Twenty Years Earlier,Kate Marlowe, (slaps Nate],(sinister laugh) ,N,Un3DrDe-124,Un3DrDe-126
Un3DrDe-126,Second-Story Work,Twenty Years Earlier,Young Sully,Katherine!,,N,Un3DrDe-125,Un3DrDe-127
Un3DrDe-127,Second-Story Work,Twenty Years Earlier,Kate Marlowe,"Who do you think you are, boy? You’re nothing but a filthy, cast off little beggar. You’re not fit to touch these objects. (raises her hand]",,N,Un3DrDe-126,Un3DrDe-128
Un3DrDe-128,Second-Story Work,Twenty Years Earlier,Young Nate, What the hell do you think you’re doing? He’s just a kid.,(stops her) ,N,Un3DrDe-127,Un3DrDe-129
Un3DrDe-129,Second-Story Work,Twenty Years Earlier,,[Nate runs away.],,Y,Un3DrDe-128,Un3DrDe-130
Un3DrDe-130,Second-Story Work,Twenty Years Earlier,Kate Marlowe,Stop him!,,N,Un3DrDe-129,Un3DrDe-131
Un3DrDe-131,Second-Story Work,Twenty Years Earlier,Young Nate,Holy crap! Oh God! Let go! Who th hell are these guys? Now they’re shooting at me?!,,N,Un3DrDe-130,Un3DrDe-132
Un3DrDe-132,Second-Story Work,Twenty Years Earlier,Young Sully," Agh, beat it kid!",(holding down a security) ,N,Un3DrDe-131,Un3DrDe-133
Un3DrDe-133,Second-Story Work,Twenty Years Earlier,Young Nate,"Excuse me, coming through! Sorry about that. Whoa! Close one.",,N,Un3DrDe-132,Un3DrDe-134
Un3DrDe-134,Second-Story Work,Twenty Years Earlier,Security,Look what we have here.,,N,Un3DrDe-133,Un3DrDe-135
Un3DrDe-135,Second-Story Work,Twenty Years Earlier,,[Nate grubs a gun lying on the roof.],,Y,Un3DrDe-134,Un3DrDe-136
Un3DrDe-136,Second-Story Work,Twenty Years Earlier,Security, Whoops. You all right? What are you shaking for? Just close your eyes. This won’t hurt a bit.,(Nate trips) ,N,Un3DrDe-135,Un3DrDe-137
Un3DrDe-137,Second-Story Work,Twenty Years Earlier,,[Sully shoots the security.],,Y,Un3DrDe-136,Un3DrDe-138
Un3DrDe-138,Second-Story Work,Twenty Years Earlier,Young Sully,"C’mon. You’re okay, kid.",,N,Un3DrDe-137,Un3DrDe-139
Un3DrDe-139,Second-Story Work,Twenty Years Earlier,,[Next scene. Bar. Sully buys some food and beer.],,Y,Un3DrDe-138,Un3DrDe-140
Un3DrDe-140,Second-Story Work,Twenty Years Earlier,Young Sully,"You can relax, kid – we’re safe here.  Go on. Suit yourself, if you don’t want it…",(sita at a table) ,N,Un3DrDe-139,Un3DrDe-141
Un3DrDe-141,Second-Story Work,Twenty Years Earlier,Young Nate,What’d you want from me?,,N,Un3DrDe-140,Un3DrDe-142
Un3DrDe-142,Second-Story Work,Twenty Years Earlier,Young Sully,A little gratitude would be nice. I did just save your ass back there.,,N,Un3DrDe-141,Un3DrDe-143
Un3DrDe-143,Second-Story Work,Twenty Years Earlier,Young Nate,"Thanks. But what’s in it for you? l mean, you’re a crook, right? You gotta have an angle.",,N,Un3DrDe-142,Un3DrDe-144
Un3DrDe-144,Second-Story Work,Twenty Years Earlier,Young Sully,"You are one piece of work, kid. What’s your story, anyway?",,N,Un3DrDe-143,Un3DrDe-145
Un3DrDe-145,Second-Story Work,Twenty Years Earlier,Young Nate,"Look, mister, no offense - but I don’t even know you.",,N,Un3DrDe-144,Un3DrDe-146
Un3DrDe-146,Second-Story Work,Twenty Years Earlier,Young Sully,"Easily remedied, Victor Sullivan. This would be the part where you introduce yourself. Okay, suppose you tell me what’s so special about that ring.",,N,Un3DrDe-145,Un3DrDe-147
Un3DrDe-147,Second-Story Work,Twenty Years Earlier,Young Nate,It belongs in my family. I’m just taking it back.,,N,Un3DrDe-146,Un3DrDe-148
Un3DrDe-148,Second-Story Work,Twenty Years Earlier,Young Sully,Passed down from Francis Drake himself.,,N,Un3DrDe-147,Un3DrDe-149
Un3DrDe-149,Second-Story Work,Twenty Years Earlier,Young Nate,That’s right.,,N,Un3DrDe-148,Un3DrDe-150
Un3DrDe-150,Second-Story Work,Twenty Years Earlier,Young Sully,"I don’t know how to break this to you, kid, but Drake didn’t have any heirs. No children.",,N,Un3DrDe-149,Un3DrDe-151
Un3DrDe-151,Second-Story Work,Twenty Years Earlier,Young Nate,"Well, non with his wife back in England, anyway…",,N,Un3DrDe-150,Un3DrDe-152
Un3DrDe-152,Second-Story Work,Twenty Years Earlier,Young Sully,"Okay, good point. Let me see it. C’mon, kid - if I was gonna take it from you, I would’ve done it by now.  Thank you. So what is this? ‘Parvis M-’",(Nate gives him the ring) ,N,Un3DrDe-151,Un3DrDe-153
Un3DrDe-153,Second-Story Work,Twenty Years Earlier,Young Nate,‘Sic Parvis Magna’ - it means ‘greatness from small beginnings’. That was his motto.,,N,Un3DrDe-152,Un3DrDe-154
Un3DrDe-154,Second-Story Work,Twenty Years Earlier,Young Sully,Yeah?,,N,Un3DrDe-153,Un3DrDe-155
Un3DrDe-155,Second-Story Work,Twenty Years Earlier,Young Nate,"You see, Queen Elizabeth gave it to him in 1581, when he got back to England, after circumnavigating the globe. That’s when she made him a knight.",,N,Un3DrDe-154,Un3DrDe-156
Un3DrDe-156,Second-Story Work,Twenty Years Earlier,Young Sully,You sure as hell didn’t learn that on the streets. How’s a kid your age know Latin?,,N,Un3DrDe-155,Un3DrDe-157
Un3DrDe-157,Second-Story Work,Twenty Years Earlier,Young Nate,The nuns sort of insisted on it.,,N,Un3DrDe-156,Un3DrDe-158
Un3DrDe-158,Second-Story Work,Twenty Years Earlier,Young Sully,"Ahh, so like a boarding school?",,N,Un3DrDe-157,Un3DrDe-159
Un3DrDe-159,Second-Story Work,Twenty Years Earlier,Young Nate,That a nice word for it.,,N,Un3DrDe-158,Un3DrDe-160
Un3DrDe-160,Second-Story Work,Twenty Years Earlier,Young Sully,"Okay, then - so what was all that business with the ring and that astrolabe thing back there?",,N,Un3DrDe-159,Un3DrDe-161
Un3DrDe-161,Second-Story Work,Twenty Years Earlier,Young Nate,Why don’t you tell me. You’re the one working for ’em.,,N,Un3DrDe-160,Un3DrDe-162
Un3DrDe-162,Second-Story Work,Twenty Years Earlier,Young Sully,"Look, kid - a client wants something, I obtain it. For a price. I don’t ask any questions. It’s just a job.",,N,Un3DrDe-161,Un3DrDe-163
Un3DrDe-163,Second-Story Work,Twenty Years Earlier,Young Nate,Looked pretty friendly to me.,,N,Un3DrDe-162,Un3DrDe-164
Un3DrDe-164,Second-Story Work,Twenty Years Earlier,Young Sully,"Yeah, well… Anyway, I’m pretty, sure I’m fired.",,N,Un3DrDe-163,Un3DrDe-165
Un3DrDe-165,Second-Story Work,Twenty Years Earlier,Young Nate,"Okay. Look - First of all, that was no astrolabe. Check this out…  It’s some sort of decoding device. Check this out… On his way around the world, Drake sailed through the East Indies… Only he says that it took him six months to get from here to here.",(shows him his notes) ,N,Un3DrDe-164,Un3DrDe-166
Un3DrDe-166,Second-Story Work,Twenty Years Earlier,Young Sully,"Yeah, so?",,N,Un3DrDe-165,Un3DrDe-167
Un3DrDe-167,Second-Story Work,Twenty Years Earlier,Young Nate,"So it doesn’t add up. He was way too good a sailor for that – it would have taken him a mouth, tops. He was hiding s something. Something big.",,N,Un3DrDe-166,Un3DrDe-168
Un3DrDe-168,Second-Story Work,Twenty Years Earlier,Young Sully,How big?,,N,Un3DrDe-167,Un3DrDe-169
Un3DrDe-169,Second-Story Work,Twenty Years Earlier,Young Nate,"Like secret-mission-from-the-Queen big. Like millions in plundered treasure that hasn’t ever been recovered, big.",,N,Un3DrDe-168,Un3DrDe-170
Un3DrDe-170,Second-Story Work,Twenty Years Earlier,Young Sully,That big.,,N,Un3DrDe-169,Un3DrDe-171
Un3DrDe-171,Second-Story Work,Twenty Years Earlier,Young Nate,That big.,,N,Un3DrDe-170,Un3DrDe-172
Un3DrDe-172,Second-Story Work,Twenty Years Earlier,Young Sully,And that decoder has something to do with it.,,N,Un3DrDe-171,Un3DrDe-173
Un3DrDe-173,Second-Story Work,Twenty Years Earlier,Young Nate,I would bet my life on it.,,N,Un3DrDe-172,Un3DrDe-174
Un3DrDe-174,Second-Story Work,Twenty Years Earlier,Young Sully,"Oh, swell, and Marlowe’s got it?",,N,Un3DrDe-173,Un3DrDe-175
Un3DrDe-175,Second-Story Work,Twenty Years Earlier,Young Nate,Won’t do her much good without the key.,,N,Un3DrDe-174,Un3DrDe-176
Un3DrDe-176,Second-Story Work,Twenty Years Earlier,Young Sully,"So, it’s a stalemate, then.",,N,Un3DrDe-175,Un3DrDe-177
Un3DrDe-177,Second-Story Work,Twenty Years Earlier,Young Nate,For now.,,N,Un3DrDe-176,Un3DrDe-178
Un3DrDe-178,Second-Story Work,Twenty Years Earlier,Young Sully,"So, you still haven’t told me what your name is.",,N,Un3DrDe-177,Un3DrDe-179
